claim,verdict,correction,source
"PPWR generally applies from 12 August 2026",SUPPORTED,"General application date is correct; many individual duties have later or conditional dates",https://eur-lex.europa.eu/eli/reg/2025/40/oj
"Online marketplaces must verify producer EPR information",SUPPORTED_WITH_SCOPE,"Article 45(4)-(6) applies to covered DSA online platforms allowing consumer distance contracts and requires information plus best-efforts reliability/completeness assessment",https://eur-lex.europa.eu/eli/reg/2025/40/oj
"All existing listings across all 27 states were mechanically delisted on 12 August",UNSUPPORTED,"No universal same-day delisting event was established; implementation depends on platform and national-register state",https://eur-lex.europa.eu/eli/reg/2025/40/oj
"PPWR explicitly requires marketplaces to swiftly suspend non-compliant sellers",OVERSTATED,"Explicit Article 45(8) suspension language applies to fulfilment service providers; marketplace obligations are tied to DSA traceability and best efforts",https://eur-lex.europa.eu/eli/reg/2025/40/oj
"Every producer registers separately wherever it first makes packaging available",SUPPORTED_WITH_EXCEPTIONS,"Article 44(2) is country-specific but roles PRO delegation micro-enterprise treatment and national implementation matter",https://eur-lex.europa.eu/eli/reg/2025/40/oj
"Most countries have zero-kilogram thresholds",UNVERIFIED,"No reliable 27-country threshold matrix was supplied or found in the audited primary material",https://eur-lex.europa.eu/eli/reg/2025/40/oj
"Non-EU sellers must appoint an AR in every country",FALSE_AS_EU_LEVEL_RULE,"Article 45(3) allows Member States to require third-country producers to appoint an AR; it is not automatic in PPWR itself",https://eur-lex.europa.eu/eli/reg/2025/40/oj
"64 unique registration fields across 10 countries",SUPPORTED_VENDOR_COMMISSIONED,"Study is detailed but Amazon-commissioned advocacy research and four country processes were only partially captured",https://assets.aboutamazon.com/4a/4f/533903e94ec3befeb991ab514a03/fragmentation-in-epr-packaging-registration-and-opportunities-to-harmonize-march-2026.pdf
"Germany fine up to EUR600000",FALSE,"Current Packaging Act source found ceilings up to EUR200000 for specified violations; sale prohibition exists for unregistered packaging",https://www.gesetze-im-internet.de/verpackg/__36.html
"Spain packaging fine up to EUR600000",MISLEADING,"EUR600000 ceiling in Law 7/2022 is for hazardous-waste/contaminated-soil cases; ordinary serious ceilings differ and violation classification matters",https://www.boe.es/buscar/act.php?id=BOE-A-2022-5809
"Ireland packaging fine up to EUR15 million plus prison",FALSE_IN_SOURCE_CHECKED,"Irish packaging regulations located provide indictment fines up to EUR500000 and imprisonment up to three years",https://www.irishstatutebook.ie/eli/2014/si/282/made/en/print
"Cheap DIY tier is materially thin",FALSE,"Several live tools publish free or EUR19-EUR49/GBP49 self-service entry tiers",https://www.ppwrtoolkit.com/pricing.html
"Czech body is COV and lacks English guidance",FALSE,"The authorised packaging company is EKO-KOM and it publishes English onboarding forms guidance downloads and client data",https://www.ekokom.cz/en/clients/how-to-join-the-system/
"This is a new corpus candidate",FALSE,"PackGate and PackProof are already staged PPWR hypotheses",research/deepresearch-august-2026-operational-chokepoints.md

